Image_id;Annotator ID 1;Annotator ID 2;Colors Code;Colors 1;Colors 2;Dots and globules code;Dots and globules 1;Dots and globules 2;Asymmetry Code;Asymmetry 1;Asymmetry 2
PAT_1180_650_843.png.jpg;q1;q4;3;3;3;1;0;0;1;2;0
PAT_1185_679_115.png.jpg;q1;q4;3;3;3;1;1;1;0;1;1
PAT_1202_722_827.png.jpg;q1;q4;2;2;2;1;1;1;0;2;1
PAT_1260_894_63.png.jpg;q1;q4;2;2;2;1;0;0;1;2;1
PAT_1303_1077_501.png.jpg;q1;q4;2;2;2;0;0;0;1;2;0
PAT_1304_1081_84.png.jpg;q1;q4;2;2;2;0;0;0;0;1;1
PAT_1345_1223_175.png.jpg;q1;q4;2;2;2;1;1;1;0;2;2
PAT_1414_1433_570.png.jpg;q1;q4;2;4;4;1;0;0;1;2;2
PAT_1415_1437_743.png.jpg;q1;q4;3;2;2;0;1;1;1;2;1
PAT_1415_1440_629.png.jpg;q1;q4;3;3;3;1;0;0;0;2;0
PAT_1421_1464_297.png.jpg;q1;q3;4;2;2;0;0;0;0;1;0
PAT_684_1303_368.png.jpg;q1;q3;4;4;4;1;1;1;2;2;2
PAT_687_1304_898.png.jpg;q1;q3;3;4;3;1;0;1;0;0;1
PAT_689_1307_354.png.jpg;q1;q3;3;3;3;1;1;1;0;1;1
PAT_70_107_155.png.jpg;q1;q3;6;3;3;1;0;0;0;2;2
PAT_736_1392_562.png.jpg;q1;q3;3;3;3;1;1;1;0;2;2
PAT_742_1470_834.png.jpg;q1;q3;4;4;4;1;0;0;0;2;2
PAT_744_1404_951.png.jpg;q1;q3;3;3;3;1;1;1;1;2;1
PAT_75_113_647.png.jpg;q1;q3;3;3;3;1;1;1;0;1;1
PAT_756_1495_858.png.jpg;q1;q3;3;3;3;0;1;1;0;1;0
PAT_763_1439_668.png.jpg;q1;q3;3;3;3;1;1;1;0;2;2
PAT_767_1501_691.png.jpg;q1;q3;3;3;3;1;1;1;0;1;0
PAT_775_1463_616.png.jpg;q1;q3;4;4;4;0;1;1;0;2;1
PAT_78_118_164.png.jpg;q1;q3;5;5;5;1;1;1;0;1;1
PAT_78_118_685.png.jpg;q1;q3;3;3;3;1;1;1;0;1;0
PAT_81_123_52.png.jpg;q1;q3;3;3;3;1;1;1;0;1;1
PAT_842_1606_971.png.jpg;q1;q3;3;3;3;1;1;2;0;2;2
PAT_844_1605_308.png.jpg;q1;q3;3;3;3;0;1;1;1;1;1
PAT_85_129_896.png.jpg;q1;q3;4;2;2;1;0;0;0;1;0
PAT_857_1628_916.png.jpg;q1;q3;4;4;4;1;1;1;1;1;1
PAT_87_133_159.png.jpg;q1;q3;2;2;2;0;1;1;1;2;2
PAT_878_1663_7.png.jpg;q1;q3;4;4;4;1;0;1;2;2;1
PAT_889_1689_986.png.jpg;q1;q3;4;4;4;1;1;1;1;2;2
PAT_91_140_664.png.jpg;q1;q3;4;4;4;1;1;1;1;2;2
PAT_920_1748_942.png.jpg;q1;q3;2;2;2;1;0;1;2;2;2
PAT_93_361_231.png.jpg;q1;q3;2;2;2;0;1;1;0;2;2
PAT_93_361_467.png.jpg;q1;q3;2;2;2;0;1;1;0;2;2
PAT_935_1781_920.png.jpg;q1;q3;4;4;4;0;0;0;2;2;2
PAT_943_1793_256.png.jpg;q1;q3;5;3;3;1;1;1;0;2;2
PAT_980_1849_295.png.jpg;q1;q3;4;4;4;1;1;1;1;2;1
PAT_983_1854_274.png.jpg;q1;q3;4;4;4;1;1;1;1;2;1
PAT_990_1860_478.png.jpg;q1;q3;3;3;3;0;0;0;0;1;0
PAT_1063_271_448.png.jpg;q2;q4;2;2;2;0;0;0;0;0;0
PAT_106_158_270.png.jpg;q2;q4;4;4;4;1;0;0;2;2;2
PAT_1074_322_864.png.jpg;q2;q4;1;2;2;0;0;0;0;2;2
PAT_1089_375_60.png.jpg;q2;q4;4;2;1;0;0;0;1;0;0
PAT_1107_427_352.png.jpg;q2;q4;3;3;3;1;1;1;0;1;1
PAT_113_172_610.png.jpg;q2;q4;3;3;3;1;1;1;1;0;0
PAT_1148_542_708.png.jpg;q2;q4;4;2;2;1;1;1;0;0;1
PAT_115_1138_970.png.jpg;q2;q4;2;2;1;1;1;1;0;0;1
PAT_118_180_500.png.jpg;q2;q4;3;3;3;1;0;0;0;1;2
PAT_139_207_342.png.jpg;q2;q4;4;2;2;1;1;1;0;1;1
PAT_1520_1777_935.png.jpg;q2;q1;3;3;3;1;1;1;1;0;1
PAT_215_330_341.png.jpg;q2;q1;6;4;4;1;1;1;2;2;2
PAT_217_332_906.png.jpg;q2;q1;3;3;3;1;1;1;1;1;2
PAT_223_1068_246.png.jpg;q2;q1;3;3;3;0;0;0;1;0;1
PAT_247_1294_292.png.jpg;q2;q1;3;3;3;0;0;0;0;2;2
PAT_267_1061_324.png.jpg;q2;q1;2;2;2;1;1;1;0;0;1
PAT_31_43_129.png.jpg;q2;q1;3;3;3;1;0;0;1;2;2
PAT_416_824_540.png.jpg;q2;q1;1;1;1;1;1;1;0;0;1
PAT_454_884_28.png.jpg;q2;q1;3;3;3;1;1;1;1;0;0
PAT_455_885_115.png.jpg;q2;q1;4;4;4;1;1;1;0;1;2
PAT_464_1794_271.png.jpg;q2;q1;2;2;2;1;1;1;2;2;2
PAT_484_926_624.png.jpg;q2;q1;4;4;4;0;0;0;0;0;1
PAT_486_929_317.png.jpg;q2;q1;3;3;3;0;1;1;0;2;2
PAT_488_931_321.png.jpg;q2;q1;3;3;3;1;1;1;1;2;2
PAT_517_971_88.png.jpg;q2;q1;5;3;3;1;1;1;1;1;2
PAT_520_983_932.png.jpg;q2;q1;4;4;4;1;0;1;0;0;2
PAT_522_3168_747.png.jpg;q2;q1;3;3;3;0;0;0;1;0;0
PAT_531_1004_792.png.jpg;q2;q1;3;3;3;1;1;1;0;1;2
PAT_553_1049_461.png.jpg;q2;q1;3;3;3;1;0;0;2;2;2
PAT_561_1068_557.png.jpg;q2;q1;6;3;3;1;1;1;0;1;2
PAT_562_1110_360.png.jpg;q2;q1;2;2;2;1;0;0;1;0;1
PAT_624_1179_323.png.jpg;q2;q1;4;4;4;1;1;1;0;0;1
PAT_636_1204_666.png.jpg;q2;q1;4;4;4;1;1;1;0;1;1
PAT_641_3704_317.png.jpg;q2;q1;4;2;2;0;1;1;0;0;0
PAT_645_1461_111.png.jpg;q2;q1;4;4;4;1;1;1;1;1;2
PAT_653_1234_311.png.jpg;q2;q1;3;3;3;1;0;0;2;1;2
PAT_683_1297_195.png.jpg;q2;q1;3;3;3;0;0;0;0;0;1
PAT_781_1474_517.png.jpg;q2;q1;1;4;4;1;1;1;2;2;2
PAT_798_1770_256.png.jpg;q2;q1;2;2;2;0;1;1;0;2;2
PAT_822_1551_573.png.jpg;q2;q1;3;3;3;1;1;1;1;1;1
PAT_833_1571_134.png.jpg;q2;q1;2;2;2;1;1;1;0;0;1
PAT_838_1585_979.png.jpg;q2;q1;4;4;4;0;0;0;2;0;1
PAT_101_1041_898.png.jpg;q3;q2;3;3;3;1;1;1;1;1;2
PAT_1455_1585_690.png.jpg;q3;q2;3;2;1;0;0;0;0;0;0
PAT_145_216_110.png.jpg;q3;q2;4;4;4;1;0;0;0;1;1
PAT_148_220_174.png.jpg;q3;q2;4;3;2;1;1;1;1;0;1
PAT_149_221_679.png.jpg;q3;q2;3;3;3;1;1;1;0;2;2
PAT_1554_2392_767.png.jpg;q3;q2;5;3;3;1;1;1;0;2;2
PAT_1563_2425_443.png.jpg;q3;q2;3;1;1;1;1;1;0;0;0
PAT_1571_2484_488.png.jpg;q3;q2;3;3;3;1;1;1;2;0;1
